Co-op,259000,3,2,1089,New York,Bronx County,The Bronx,"7C Edgewater Park, Bronx, NY 10465, USA",Berkshire Hathaway HomeServices New York Properties - Eastchester,7C Edgewater Park," Bronx"," NY"," 10465"," USA",Bronx
House,1195000,4,4,2704,New York,Richmond County,Staten Island,"52 Indale Ave, Staten Island, NY 10309, USA",DiTommaso Real Estate,52 Indale Ave," Staten Island"," NY"," 10309"," USA",Staten Island
Condo,17500000,5,6,5499,New York,New York County,New York,"37 Warren St, New York, NY 10007, USA",Serhant,37 Warren St," New York"," NY"," 10007"," USA",Manhattan
Condo,189000,2,2,966,Richmond County,Staten Island,Shore Acres,"20 Cliff St #6b, Staten Island, NY 10305, USA",Salmon Realty Group,20 Cliff St #6b," Staten Island"," NY"," 10305"," USA",Staten Island
Condo,759000,3,2,1200,Queens County,Queens,Bayside,"206-4 Emily Rd #37, Bayside, NY 11360, USA",Midas Realty,206-4 Emily Rd #37," Bayside"," NY"," 11360"," USA",Queens
House,275000,4,1,2184,New York,Kings County,Brooklyn,"579 E 29th St, Brooklyn, NY 11210, USA",ONLY NINE REALTY LLC,579 E 29th St," Brooklyn"," NY"," 11210"," USA",Brooklyn
Condo,499000,1,1,630,New York County,New York,Manhattan,"157 E 72nd St #8i, New York, NY 10021, USA",COMPASS,157 E 72nd St #8i," New York"," NY"," 10021"," USA",Manhattan
House,1249000,3,2.37386083602905,2184,New York,Bronx County,The Bronx,"3021 Arlington Ave, Bronx, NY 10463, USA",TREBACH REALTY INC,3021 Arlington Ave," Bronx"," NY"," 10463"," USA",Bronx
Co-op,69900,2,1,700,New York,Bronx County,The Bronx,"61 Edgewater Park, Bronx, NY 10465, USA",Utopia Real Estate,61 Edgewater Park," Bronx"," NY"," 10465"," USA",Bronx
Multi-family home,1150000,12,6,5508,New York,Queens County,Queens,"32-40 48th St, Long Island City, NY 11103, USA",Rock Realty Inc,32-40 48th St," Long Island City"," NY"," 11103"," USA",Queens
Foreclosure,1749900,5,4,3740,New York,New York County,New York,"517 W 142nd St, New York, NY 10031, USA","Island Advantage Rlty, Llc",517 W 142nd St," New York"," NY"," 10031"," USA",Manhattan
